人物,人物台词,开始时间,结束时间
阿虚,那种东西由我来买就好了,00:08:10:610,00:08:12:680
春日,十三条 呀～大丰收大丰收～,00:08:13:830,00:08:17:340
春日,但我不需要那么多 就只要了一条,00:08:17:600,00:08:20:650
春日,还有给实玖瑠的那份,00:08:21:310,00:08:22:920
春日,只吃一个的话没关系哦,00:08:24:930,00:08:26:670
阿虚,谢谢了,00:08:27:400,00:08:28:120
(可能)春日,咦 有希 你那面具哪里弄来的,00:08:29:730,00:08:32:330
(可能)长门,买的,00:08:32:890,00:08:33:550
(可能)春日,嗯 是么,00:08:33:860,00:08:35:410
(可能)阿虚,现在是夏天 在暑假中,00:08:49:890,00:08:51:940
阿虚,所以 虽然极力想要忘记,00:08:52:500,00:08:54:890
(可能)阿虚,但有件事情却让我很在意,00:08:55:280,00:08:57:120
阿虚,春日啊 虽说玩也没问题 你暑假作业做完了么,00:08:58:370,00:09:01:900
春日,你说什么嘛 那样的作业有三天不就全部做完了吗,00:09:02:590,00:09:07:060
(可能)阿虚,三天！？,00:09:07:310,00:09:07:940
春日,那种麻烦事就得事先赶紧收拾掉再玩到爽,00:09:08:730,00:09:14:010
阿虚,为什么这种家伙脑子这么好,00:09:15:160,00:09:17:390
阿虚,上天对于人的参数调整还真是随便啊,00:09:17:940,00:09:21:550
春日,各位 明天去捉昆虫哦,00:09:22:330,00:09:24:680
(可能)春日,捉到的虫子最多的那个人 怎么好呢…,00:09:25:010,00:09:29:100
春日,就把团长的权力让给他一天！,00:09:29:350,00:09:31:880
,才不要呢,00:09:32:030,00:09:32:610
古泉,很有趣呢 只要是虫子的话什么都可以么,00:09:32:920,00:09:36:400
(可能)春日,嗯…只能抓蝉,00:09:36:810,00:09:39:340
春日,没错 这就是SOS团内部的捉蝉大战！,00:09:39:760,00:09:43:390
阿虚,第二天 是个让人有种「连这也是啊」的感觉的大晴天,00:09:45:840,00:09:49:310
阿虚,SOS团内部的捉蝉大战就在这大晴天下进行,00:09:49:910,00:09:53:480
阿虚,这可不是蝉啊,00:09:55:010,00:09:56:130
(可能)阿虚,…啊 这是超巨型金龟子！,00:09:56:440,00:09:58:090
阿虚,虽说大家都在努力奋斗 可应该说不出所料还是说啥呢,00:09:58:740,00:10:03:390
(可能)阿虚,获胜者是春日,00:10:03:750,00:10:05:490
春日,说到底 还是要有放生的精神,00:10:06:350,00:10:09:820
春日,今天放它们一条生路 以后说不定会来报恩呢,00:10:10:690,00:10:14:560
阿虚,蝉来了到底能为我们做些啥啊,00:10:15:110,00:10:18:000
春日,好了 快回山里去吧,00:10:20:720,00:10:22:710
阿虚,总觉得 有点打开了盒子的潘多拉的感觉呢,00:10:27:880,00:10:31:700
(可能)春日,欢…欢迎光临,00:10:32:650,00:10:35:100
阿虚,第二天 我们在还没搞清状况的状态下就被召集了起来,00:10:35:420,00:10:39:270
阿虚,在一无所知的情况下被套上了青蛙的罩衣,00:10:39:580,00:10:42:210
阿虚,开始在超市的门口发气球的兼职,00:10:42:700,00:10:46:700
阿虚,我真是体会到被BEAM射到的零号机的感觉了,00:10:51:420,00:10:54:280
春日,各位 辛苦了,00:10:55:010,00:10:57:070
阿虚,这待遇差算啥啊,00:10:57:170,00:10:58:700
(可能)春日,辛苦了,00:10:58:750,00:10:59:300
春日,店长大叔也谢谢大家了,00:10:59:590,00:11:01:610
阿虚,我才不要大叔的感谢,00:11:02:030,00:11:03:550
(可能)阿虚,工钱呢,00:11:03:770,00:11:04:380
(可能)春日,这个咯,00:11:05:590,00:11:06:190
(可能)古泉,啊？,00:11:06:570,00:11:07:310
春日,我很早之前就很想要这个了,00:11:08:250,00:11:11:340
阿虚,我们就为了这种东西累死累活地干活么,00:11:12:100,00:11:15:620
春日,就把这放在社团室做纪念吧,00:11:16:130,00:11:18:120
春日,实玖瑠 你想什么时候穿都可以哦,00:11:18:820,00:11:21:720
春日,我许可的,00:11:21:990,00:11:23:100
朝比奈,是的,00:11:23:560,00:11:24:190
(可能)阿虚,怎么啦,00:11:26:570,00:11:27:250
(可能)古泉,不 没什么,00:11:27:530,00:11:28:770
(可能)阿虚,不要看过来,00:11:29:050,00:11:29:580
春日,试一试吧 实玖瑠,00:11:29:870,00:11:31:750
朝比奈,不用了,00:11:32:020,00:11:33:440
(可能)古泉,冰棍要溶了哦,00:11:34:280,00:11:35:650
(可能)阿虚,那天晚上 夺去了我的安眠的,00:11:39:800,00:11:42:660
阿虚,又是一个电话,00:11:42:970,00:11:44:710
(可能)阿虚,你所拨的电话已…,00:11:45:260,00:11:46:690
,呜…,00:11:46:960,00:11:48:390
,怎么！,00:11:49:220,00:11:49:960
(可能)春日,阿虚…,00:11:52:140,00:11:53:940
,朝比奈学姐？,00:11:53:950,00:11:54:700
(可能)朝比奈,是 是我,00:11:55:230,00:11:57:270
(可能)朝比奈,有非常不好的事情…这样下去我…,00:11:58:550,00:12:03:250
(可能)阿虚,那个…,00:12:04:330,00:12:05:010
(可能)古泉,你好 我是古泉,00:12:05:310,00:12:06:570
阿虚,你怎么会这个时候跟朝比奈学姐在一起,00:12:07:480,00:12:10:600
古泉,因为有点情况 你能现在就过来么,00:12:11:220,00:12:15:710
阿虚,到底发生什么事了 朝比奈学姐？,00:12:23:060,00:12:25:520
朝比奈,那个…阿虚…,00:12:26:100,00:12:28:160
朝比奈,我回不了未来了 呜…,00:12:28:380,00:12:35:290
(可能)古泉,也就是说 事情是这样的,00:12:35:860,00:12:37:330
古泉,我们在永久地重复着同样的时间,00:12:38:160,00:12:41:630
阿虚,就算你满面春光地把那种非现实的话说出来…,00:12:42:540,00:12:45:460
阿虚,古泉 你知道自己在说什么吗,00:12:46:560,00:12:49:500
(可能)古泉,知道 没有比现在更清楚的了,00:12:49:960,00:12:53:010
古泉,我刚才和朝比奈学姐谈了下,00:12:54:040,00:12:56:360
(可能)阿虚,倒是叫上我啊 这么美的谈话,00:12:56:980,00:12:58:840
古泉,然后意识到最近这里时间的流动出现了异常,00:12:59:140,00:13:04:060
(可能)古泉,这该说是朝比奈学姐的功绩吧,00:13:04:700,00:13:07:110
古泉,托她的福我也确信了,00:13:07:960,00:13:10:160
(可能)阿虚,确信什么了,00:13:10:570,00:13:11:750
(可能)古泉,我们已经重复体验同样的时间许多次了,00:13:14:140,00:13:18:610
阿虚,这个刚才就听你说了,00:13:19:080,00:13:20:360
古泉,正确地说应该是八月十七日到三十一日之间,00:13:21:020,00:13:25:070
古泉,我们正处于一个没有尽头的暑假的正当中,00:13:26:140,00:13:29:380
阿虚,现在确实是暑假,00:13:30:540,00:13:32:740
(可能)古泉,绝对无法结束的Endless Summer,00:13:33:520,00:13:36:050
古泉,现在这个世界里 九月一日之后的时间全部消失了,00:13:36:780,00:13:41:820
阿虚,你要谁相信那个啊,00:13:42:830,00:13:44:410
古泉,我希望至少你能相信,00:13:44:710,00:13:47:590
(可能)朝比奈,那个…也由我来说明一下吧,00:13:48:490,00:13:52:650
(可能)朝比奈,那个…,00:13:53:250,00:13:54:030
朝比奈,因为禁止说明的事项 我一直在和未来联系和做禁止说明的事项,00:13:54:680,00:14:00:570
朝比奈,一个礼拜左右没有禁止说明的事项了啊 有点奇怪啊,00:14:01:610,00:14:06:010
(可能)春日,我正这么想着 于是禁止说明的事项…,00:14:07:770,00:14:11:950
朝比奈,我吓了一大跳 慌张之下就做了禁止说明的事项…,00:14:12:830,00:14:17:740
(可能)春日,完全禁止说明的事项…我到底该怎么办啊…,00:14:18:630,00:14:23:860
阿虚,那么我们被困在那个叫什么封闭空间里了吗,00:14:25:360,00:14:30:000
古泉,并不是这样,00:14:30:370,00:14:31:300
古泉,只是一部分的时间被分割开了,00:14:31:920,00:14:34:810
古泉,到八月三十一日二十四时整的那一瞬,00:14:35:570,00:14:39:240
古泉,一切都被重置 再回到十七日的过程,00:14:39:690,00:14:44:010
阿虚,我们…,00:14:44:910,00:14:45:770
阿虚,不 全人类的记忆呢,00:14:46:140,00:14:48:210
古泉,那些也会重置 会重头再来一次,00:14:48:850,00:14:53:160
阿虚,又是关于时间这个那个了的问题吗,00:14:54:240,00:14:56:540
阿虚,既然未来人也混进来了那我觉得也没办法,00:14:57:440,00:15:00:650
古泉,不 这件事和朝比奈学姐没关系,00:15:01:480,00:15:04:540
(可能)阿虚,那原因是什么,00:15:04:720,00:15:06:070
古泉,是凉宫同学吧,00:15:07:500,00:15:08:780
古泉,虽然本人没有这个自觉,00:15:10:020,00:15:11:460
古泉,但是心里什么地方总在想着暑假不要结束吧,00:15:11:850,00:15:15:670
阿虚,那算啥啊 难道留着什么遗憾吗,00:15:16:020,00:15:18:920
(可能)古泉,我也是这么想的,00:15:19:760,00:15:20:780
古泉,也许她是想着暑假还有什么事情剩下没做吧,00:15:22:390,00:15:27:340
阿虚,刚才我就觉得 你好像乐在其中呢,00:15:29:860,00:15:32:870
古泉,因为最近频繁发生的既视感之谜终于解开了嘛,00:15:34:000,00:15:38:570
古泉,现在想来 那只能理解为是由于记忆重置而散落下来的残渣吧,00:15:39:560,00:15:46:120
阿虚,全世界的人都感觉得到这个吗,00:15:47:620,00:15:50:500
古泉,并不是这样 我和你算是特例了,00:15:51:100,00:15:55:510
古泉,好像只有和凉宫同学亲近的人才能感觉到这份异样,00:15:56:790,00:16:01:030
阿虚,那春日怎么样,00:16:01:870,00:16:02:970
阿虚,那家伙多少有一点意识到吗,00:16:03:520,00:16:05:630
古泉,一点都没有呢,00:16:05:970,00:16:07:630
古泉,倒不如说有了反而糟糕了,00:16:08:240,00:16:10:660
(可能)古泉,但是 别说是既视感了,00:16:11:530,00:16:13:280
古泉,我觉得应该有一个人保存着所有轮回中的记忆,00:16:13:560,00:16:19:610
(可能)阿虚,…是这样的吗,00:16:24:000,00:16:24:710
(可能)长门,对,00:16:25:310,00:16:25:930
(可能)阿虚,你全都记得吗,00:16:26:710,00:16:28:030
(可能)长门,对,00:16:28:870,00:16:29:390
阿虚,顺带问下 这重复…现在到底几次了？,00:16:30:260,00:16:33:530
长门,这次是第15521次,00:16:35:260,00:16:38:920
阿虚,15521？,00:16:40:110,00:16:42:840
(可能)阿虚,15521是啥啊,00:16:45:220,00:16:48:860
(可能)阿虚,你那话是认真的吗,00:16:51:490,00:16:53:330
,对,00:16:54:090,00:16:54:630
阿虚,那么多的次数 我们全都在重复同样的事情吗,00:16:55:220,00:16:59:740
长门,并非全部如此,00:17:00:190,00:17:01:650
长门,15521次中没有去盂兰盆会的模式 有第2391次和第11054次的这两次,00:17:02:520,00:17:12:320
长门,另外 去了盂兰盆会而没有捞金鱼的模式有437次,00:17:12:870,00:17:18:780
长门,去打工的有9048次 其内容有6个模式,00:17:19:720,00:17:25:220
长门,除了发放气球 还有搬货物 收银 发送传单 接电话…,00:17:25:680,00:17:30:160
(可能)阿虚,…不 已经够了,00:17:30:170,00:17:31:360
阿虚,第15521次…,00:17:36:870,00:17:39:540
(可能)阿虚,长门她这么说了,00:17:40:790,00:17:41:830
(可能)阿虚,乘上两周的话就是…唔…,00:17:43:020,00:17:46:420
阿虚,差不多是595年的时间了,00:17:48:580,00:17:50:830
阿虚,那么长的时间仅她一个人,00:17:51:950,00:17:53:910
阿虚,能够好好地保留着记忆 无数次无数次地重复吗,00:17:54:210,00:17:58:580
阿虚,长门 你到底到现在为止都是什么样的心情,00:17:59:800,00:18:04:110
阿虚,我又听了荒唐的话了,00:18:08:980,00:18:11:350
(可能)春日,是不是没有啊,00:18:13:380,00:18:14:280
(可能)阿虚,什么啊？,00:18:14:740,00:18:15:300
(可能)春日,火星人,00:18:16:060,00:18:16:880
阿虚,我倒不希望它存在啊,00:18:17:090,00:18:18:470
春日,地表看起来没人 应该是在地下生活深谋远虑的人种吧,00:18:18:970,00:18:24:730
春日,人类第一次踏上火星的时候一定会从暗处跑出来欢迎吧,00:18:25:200,00:18:30:930
(可能)春日,「欢迎来到火星」什么的,00:18:31:310,00:18:32:980
(可能)阿虚,给我正常点登场吧,00:18:33:490,00:18:35:120
(可能)春日,啊 我看够了,00:18:35:600,00:18:37:430
春日,来找UFO吧 UFO,00:18:37:910,00:18:39:680
(可能)阿虚,第二天是观测天体,00:18:40:750,00:18:42:990
(可能)阿虚,地点是长门公寓的楼顶,00:18:43:430,00:18:45:140
阿虚,天体望远镜由古泉准备,00:18:45:430,00:18:48:320
(可能)阿虚,这家伙到底想做啥啊,00:18:50:300,00:18:52:180
(可能)古泉,是啊 是什么呢,00:18:52:810,00:18:54:320
古泉,这个能搞清楚的话问题也就迎刃而解了,00:18:54:940,00:18:57:470
古泉,试下这样怎么样,00:18:58:290,00:18:59:810
古泉,从后面突然抱住凉宫同学,00:19:00:700,00:19:02:440
古泉,在她耳边轻语「I love you」,00:19:02:800,00:19:06:100
阿虚,这由谁来做啊,00:19:06:500,00:19:08:040
古泉,除了你没有适合的人了,00:19:08:810,00:19:11:130
阿虚,嗯？但是我拒绝,00:19:11:640,00:19:13:740
古泉,那么 我来做怎么样,00:19:14:650,00:19:16:550
古泉,开玩笑的了 我做这角色还不够格,00:19:19:380,00:19:22:850
(可能)古泉,这样只会让凉宫同学增加无谓的混乱吧,00:19:23:780,00:19:26:600
阿虚,我说 长门,00:19:35:220,00:19:36:130
阿虚,你在朝比奈学姐说出来之前就注意到了这轮回吧,00:19:37:360,00:19:41:200
(可能)长门,对,00:19:42:060,00:19:42:640
阿虚,那为什么沉默不语,00:19:43:300,00:19:44:980
长门,因为我的任务是观察,00:19:46:550,00:19:48:590
(可能)阿虚,这样啊…,00:19:52:570,00:19:53:300
阿虚,怒涛般的暑假活动消化体制还在继续,00:19:54:530,00:19:58:030
(可能)阿虚,我们也去了真正的烟花汇演,00:19:58:700,00:20:00:630
(可能)阿虚,还去了钓虾虎鱼大会,00:20:00:970,00:20:02:760
(可能)阿虚,此外还去了打击中心 电影连看 海水浴 保龄球 卡拉OK,00:20:04:670,00:20:10:010
(可能)阿虚,我们一直在活动来活动去的,00:20:10:330,00:20:12:660
阿虚,当然我觉得春日应该不会这样就满足,00:20:13:240,00:20:17:000
(可能)阿虚,但即便如此也没有什么行动,00:20:17:580,00:20:20:580
(可能)阿虚,就这样 只有暑假剩余的日子是确实在一天天减少,00:20:21:160,00:20:26:410
(可能)阿虚,然后终于来到了 八月三十日,00:20:28:510,00:20:32:470
春日,这样课题就如实地完成了呢,00:20:39:420,00:20:41:890
春日,不要乱涂鸦了啊,00:20:43:670,00:20:45:240
(可能)春日,这样子好吗,00:20:48:710,00:20:50:460
(可能)朝比奈,但是…,00:20:52:540,00:20:53:110
(可能)春日,哎 也就这样了呢,00:20:53:540,00:20:55:110
春日,喂 各位 还有什么想做的吗,00:20:55:460,00:20:57:640
春日,哎 够了,00:21:05:730,00:21:06:440
春日,这个暑假已经做了好多事了 已经很充实了,00:21:06:930,00:21:10:420
阿虚,不 不好！,00:21:11:020,00:21:12:040
阿虚,你应该还没有满足才对,00:21:12:630,00:21:14:560
春日,那么今天就到此为止了,00:21:16:640,00:21:18:460
春日,明天当预备日先空下来了 大家就这样休息吧,00:21:18:870,00:21:22:680
春日,后天在社团教室再见吧,00:21:23:280,00:21:25:320
(可能)古泉,等等啊 春日！,00:21:34:280,00:21:35:410
春日,那么今天就到此为止了,00:21:38:340,00:21:40:240
春日,明天当预备日先空下来了 大家就这样休息吧,00:21:40:500,00:21:44:270
(可能)春日,后天在社团教室再见吧,00:21:44:930,00:21:47:150
阿虚,不能在这里放春日回去,00:21:50:270,00:21:52:000
(可能)阿虚,让你回去的话,00:21:54:590,00:21:55:390
阿虚,那重复了一万几千次的两星期又要陷入永远循环的窘境了,00:21:55:830,00:22:00:550
春日,那么今天就到此为止了,00:22:01:260,00:22:03:020
春日,明天当预备日先空下来了 大家就这样休息吧,00:22:03:340,00:22:07:080
朝比奈,后天在社团教室再见吧,00:22:07:880,00:22:09:870
(可能)阿虚,但我该做什么呢 应该说什么呢,00:22:10:210,00:22:12:770
(可能)阿虚,在春日的话里应该有提示的,00:22:15:710,00:22:18:180
(可能)阿虚,但那是什么,00:22:19:100,00:22:20:590
(可能)阿虚,她至今都说了些什么,00:22:21:230,00:22:23:100
(可能)阿虚,我不明白 也想不到…,00:22:24:590,00:22:27:470
春日,那么今天就到此为止了,00:22:28:360,00:22:30:160
春日,明天当预备日先空下来了 大家就这样休息吧,00:22:30:580,00:22:34:330
(可能)朝比奈,后天在社团教室再见吧,00:22:34:950,00:22:37:080
阿虚,怎么都成了,00:22:42:390,00:22:43:780
阿虚,八月三十一日,00:22:46:760,00:22:48:520
阿虚,作业 还没动过,00:22:48:880,00:22:50:210
(可能)阿虚,管他呢,00:22:50:710,00:22:51:370
阿虚,如果再重复的话 作业做了也没意义啊,00:22:53:260,00:22:57:850
阿虚,不管明天来不来 到时候就交给那时的我算啦,00:23:00:770,00:23:06:810
